127.0.0.1 - - [23/May/2014:12:30:54 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/May/2014:12:31:18 +0800] "GET /YNU/HW HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/May/2014:12:32:46 +0800] "GET /YNU/HW HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [23/May/2014:12:33:26 +0800] "GET /YNU/HW HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:04 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:31 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:31 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:31 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:31 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:32 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:32 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [23/May/2014:12:38:32 +0800] "GET /YNU/servlet/com.cyand.test.HW HTTP/1.1" 404 1009
