127.0.0.1 - - [07/May/2014:21:30:12 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/ HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:19 +0800] "GET /ccb/images/LoginBackground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/ HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/css/bootstrap.min.css HTTP/1.1" 200 102593
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/css/all.css HTTP/1.1" 200 15997
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/images/LoginBackground.png HTTP/1.1" 200 160177
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/favicon.ico HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/favicon.ico HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/favicon.ico HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:29 +0800] "GET /ccb/favicon.ico HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:38 +0800] "POST /ccb/sys/xlogin.do HTTP/1.1" 500 1336
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:38 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [07/May/2014:21:30:38 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [07/May/2014:21:31:08 +0800] "GET /ccb/sys/xlogin.do HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [07/May/2014:21:31:14 +0800] "POST /ccb/sys/xlogin.do HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [07/May/2014:21:31:15 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:31:15 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:31:15 +0800] "GET /ccb/sys/images/LoginBackground.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:32:21 +0800] "POST /ccb/sys/xlogin.do HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [07/May/2014:21:32:21 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:32:21 +0800] "GET /ccb/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [07/May/2014:21:32:21 +0800] "GET /ccb/sys/images/LoginBackground.png HTTP/1.1" 404 1057
